,Open,High,Low,Close,Adj Close,Volume
2024-01-01,102.7056276944958,103.07480953243825,100.45752549423236,101.46472537750617,101.50355921841043,539620
2024-01-02,101.49033002376366,102.40358873191082,99.83219934414548,101.60626106135469,101.60278183125962,568241
2024-01-03,102.50770503919776,104.24260713432774,102.3895409940692,103.52627912926317,103.63977983883005,746757
2024-01-04,105.86853909172109,106.52380282244368,104.70366253364524,105.56198714637823,105.53726286096722,503741
2024-01-05,106.66483702523497,107.89153025388964,105.99845394320306,106.36712950245354,106.33017217390352,309510
2024-01-08,107.24593144074029,108.86288748505113,105.81340106052708,106.45186174428753,106.38998463275247,331035
2024-01-09,107.01739977506136,107.24853538984017,105.68314130365862,107.63146917668516,107.45574632399796,729918
2024-01-10,106.69912465142316,107.81088296634923,105.3524071456256,107.10231485173435,106.93440329931107,908139
2024-01-11,107.93110421859016,108.2110288176334,106.27586005265985,106.87710636984531,106.7510813822657,939133
2024-01-12,108.12048910300555,108.2186394926485,107.22065826914208,106.97640746348017,107.11562956315899,566236
2024-01-15,108.45805475866251,109.3682336667551,107.39057371878079,106.80100792866753,106.89662262817068,139603
2024-01-16,109.4315711145499,109.7487893297412,107.90080497943593,109.37869776008222,109.52908953913118,761748
2024-01-17,109.30897366803184,110.52591447266816,108.18214785927509,109.58502928817333,109.43903883498655,536809
2024-01-18,110.81629400360154,111.28271310033749,109.1305837741872,109.74452819628017,109.52848240850406,507488
2024-01-19,110.17112307432176,111.2495710157157,109.78624326514048,111.17148535325701,111.0981059117309,949904
2024-01-22,111.04002728506991,111.45007697827246,110.54444749785465,110.98104964060131,111.00056221258482,718897
2024-01-23,112.60650414421619,112.62352455807763,112.09070670903873,112.31829066096986,112.37430270021699,343368
2024-01-24,111.8502148500181,112.3068716321186,111.5633276576282,111.99875079915714,112.11612237149785,771987
2024-01-25,112.54782728338745,114.8071362340783,112.17916119611877,113.00078502859729,113.03290885456617,528565
2024-01-26,111.84779519469596,111.89005234635661,111.27938658262153,112.24648651262079,112.44209496040462,261374
2024-01-29,109.02191480865643,109.97785980914921,108.11409765452683,109.29845459881838,109.27412414190582,998970
2024-01-30,108.93762024322689,109.83330241421837,108.12462725467282,109.77843293421795,109.67819652851651,398127
2024-01-31,110.5008759244815,110.9644718991276,110.07724047965453,109.3044553017754,109.12069066048737,266640
2024-02-01,110.27278476531556,110.75426623908902,108.71867673397651,109.67145277408879,109.57395799377191,605617
2024-02-02,111.53206251109395,113.42014345540426,110.3747072519031,111.81429296386278,111.84136521248418,319402
2024-02-05,110.35016349619704,110.4882427605612,110.03787124507134,110.47195738105366,110.37377871465961,642353
2024-02-06,110.2531625078015,110.6272458216277,110.09549549163769,110.94226232732359,111.04618665544628,152199
2024-02-07,111.20818729787617,111.44036833407644,108.02683193633828,108.91371685004171,109.06753870991653,656617
2024-02-08,112.15248202650116,112.74979809546653,111.11163437213871,111.53167862125986,111.26739461608098,510397
2024-02-09,113.48942433601579,113.72734606575179,112.34243269292574,113.42064559536561,113.51864696511622,451427
2024-02-12,113.05568280636949,114.86470175257467,112.30849447216485,113.20721807056577,112.95367872550513,225383
2024-02-13,114.08842795884023,114.58174784220242,112.62985840799058,113.11035030663119,113.15576400540023,923760
2024-02-14,112.59385128523553,113.47387909158093,111.82059830783292,113.36549935901262,113.50435742217259,111908
2024-02-15,110.96613642647746,111.3821864727389,109.76634050714696,111.08865710026335,111.09586187802182,190557
2024-02-16,110.2843859588247,111.75849142983606,107.62521372082796,110.1167567127919,109.97584149143817,458234
2024-02-19,111.09687461459136,111.87807271630135,110.15233844275873,110.91606656937603,110.85113284295056,518916
2024-02-20,112.27724405615331,113.77172860064468,110.23305806440811,112.39974150387073,112.37033262340715,554688
2024-02-21,113.08717911884125,115.26131352164379,112.63624465703533,113.19397481977992,113.17334580831258,668401
2024-02-22,113.00200503555313,113.42826376633123,112.11999078148509,113.2042840809378,113.18131528933652,183575
2024-02-23,111.95516817428171,113.17860696367721,110.29561737809183,112.54082901622779,112.52846271714971,626710
2024-02-26,110.70751716722705,112.09058298913209,109.63900776791104,111.25553147225268,111.27928230855291,413077
2024-02-27,110.25282387703315,110.65009569136195,109.5797422225495,109.45341776820094,109.32113525117524,237509
2024-02-28,108.41019458346214,108.5430751610491,107.6390202247472,108.28389245229008,108.25768560306108,838587
2024-02-29,110.59514894945373,110.89293982885546,109.06355582791355,110.37477970003056,110.54235744223568,933102
2024-03-01,110.95955343668798,111.2685664057351,109.32705841696341,110.20589743004967,110.16350723599989,935515
2024-03-04,109.80214649114004,111.47815029747001,109.04955125246032,109.27235301340122,109.22385399914987,597238
2024-03-05,107.62070027487282,109.22944295237802,107.25600673048113,108.30581919070539,108.42259423293336,756991
2024-03-06,109.41310988747473,110.49272847951156,108.69789788815444,108.37229573655995,108.09495101905443,323240
2024-03-07,106.5827501906131,108.05406815507307,106.00422869288423,106.8493893179551,106.97561890005605,447448
2024-03-08,106.79717131324755,108.49438794345741,106.44751685625437,106.97276896614146,106.90517247142753,647613
2024-03-11,106.0983762517989,106.65356193091397,105.33423232789245,105.6051828224687,105.62249452933239,786748
2024-03-12,107.37607091314516,107.95185888295822,105.0816080785189,106.92952347098282,106.93982306767155,347775
2024-03-13,105.63621700372738,106.15054757807238,104.27168515562491,106.2401595794109,106.3402875427954,416834
2024-03-14,104.4147429612997,105.1472906477743,103.72529377674975,104.96751011282542,104.93942135859382,567130
2024-03-15,104.75055374007782,105.49131875336072,104.0982601401428,104.9692320648985,104.89806021928749,431646
2024-03-18,104.89637272963991,105.92286101647697,104.3751834173388,106.23863365356335,106.37651501705517,841329
2024-03-19,105.85794705625739,106.58354443472098,103.45155954504749,105.06019700122073,104.81181643424675,105596
2024-03-20,105.0571352387622,106.98046494833896,104.57916123472171,104.49638035019363,104.49850519857922,189744
2024-03-21,104.38904457305739,106.54571729659803,103.90938875904945,105.06242899771118,104.920812678702,587368
2024-03-22,104.38112771090358,105.210417112383,103.76076941256007,104.57473596279496,104.49509462680174,384219
2024-03-25,103.6785610601537,105.11643654328388,102.98010391104636,103.66881776424465,103.87732236663237,866199
2024-03-26,104.5327901508678,105.03960650516649,103.56425323487304,103.07860919427992,103.07401235974443,887436
2024-03-27,103.22958824537774,103.82590228382824,101.82302946780055,102.53528308101379,102.55528460763172,187047
2024-03-28,101.07237086027578,101.12493815654533,100.68863025578192,101.11926445419209,100.93911412864423,782892
2024-03-29,100.59330362242184,103.14230118768344,100.57762151081928,100.95461303151566,100.88101261010436,514443
2024-04-01,101.22642193382944,101.41520053062327,100.64331227733044,102.01046728540054,102.03051819769728,955261
2024-04-02,98.67393442496784,99.69793312249683,98.48328093138645,98.69378990784605,98.72880228907837,887496
